id,BuyingPower,NewChain,HAFT,CANBO_001,CANBO_002,CANBO_003,CANBO_004,CANBO_005,V1_001,O.K_001,O.K_002,O.K_003,O.K_004,V1_002,V1_003,V1_004,O.K_005,O.K_006,O.K_007,REHAH_001,WINMAK_001,WINMAK_002,REHAH_002,DAILYMAK_001,DAILYMAK_002,PopDenc,ChainDenc
"1","49","0",721.438604193183,679.479862371059,918.081299772871,1485.96716583329,1739.96045766769,2074.85508338643,574.085681566422,1745.00879375897,1084.39828811475,1720.44441236328,2318.99086972584,2329.84335040281,851.2240242228,2192.90611954118,407.580305875259,1571.66511047101,2228.04698203262,1026.18617813661,1504.53482430916,337.444989311417,2881.0332409757,467.113656653897,2246.8972094774,0.65,0.2
"2","52","0",820.563491048336,747.5970233733,1017.72915579484,1563.91678304965,1839.95589507004,2165.3752820211,486.684536435359,1828.61531656805,1158.35193888069,1817.04608169375,2418.92741955069,2423.41263956624,950.462532273813,2292.85545894451,455.513910071341,1666.46806742689,2320.76918177391,1099.2018419491,1599.02999191686,246.509207591841,2976.84569848942,525.769205286845,2339.93210273785,0.65,0.2
"3","50","0",919.885828709214,822.267872444844,1117.44651008639,1644.25900991714,1939.9555880235,2256.69920230496,405.171628739049,1913.79908952402,1235.98280385387,1914.00068916034,2518.87191812771,2517.47935065337,1049.85257043548,2392.81209812689,518.535306913473,1761.8499120284,2414.07549882778,1176.19982056899,1694.16158814333,166.370657273876,3072.92739097773,595.555261773265,2433.52256992306,0.8,0.2
"4","53","0",1019.34789798461,901.866015510925,1217.21627925658,1726.6598890792,2039.95890883924,2348.73309308743,333.887697382713,2000.35862283664,1316.64060057018,2011.25719234722,2618.82345393613,2611.98974115383,1149.35482556077,2492.77515742995,591.844172866928,1857.72147809203,2507.90073636299,1256.44818848443,1789.82813282163,120.85665815935,3169.25383028868,673.018275013165,2527.60689606668,0.65,0.2
"5","89","0",1275.42902663258,1776.11570944254,1146.7750551607,1890.64020474199,881.774673225691,1839.74636944943,2114.25884113661,1881.95554282672,1805.21964602829,1368.76309086277,1138.7745665619,1866.17333058558,1207.97646874403,1061.66824160749,1853.47926801045,384.083401909639,1840.32542916809,1801.17276899368,400.356413452333,1976.5902895733,2147.10791470508,1810.37222607907,585.160750351923,0.8,0.2
"6","54","1",1789.57024728495,2089.91097553718,1590.95710674296,1557.96272050659,802.183655206615,945.063909722207,3048.77315475739,1314.52610872299,1808.97501539467,881.907328639121,357.327311122375,719.513258799892,1659.55347488076,427.14582940117,2350.77248291965,1243.80721909849,789.354026142209,1851.45089579766,1296.28351835729,2834.47326005629,690.497031396686,2268.69532108491,1123.47947599248,1,0.2
"7","53","0",1686.93733623204,2009.68613294283,1486.83875209674,1525.03010224074,678.811439835287,962.860328633627,2936.07190852159,1300.9951752429,1748.94076704527,825.226861272953,222.643928856973,774.743590395957,1557.30909870564,285.747927174757,2261.05800690534,1104.66836081,827.785691570917,1788.25110958859,1158.18086775088,2725.20790244038,822.26631664876,2180.56743052582,994.957946322104,0.65,0.2
"8","64","0",1586.90045731205,1911.98622614963,1386.80699987094,1443.29452067671,581.726371175613,911.357178918507,2836.80272396823,1229.2322341397,1656.59232505962,736.459179816253,206.65711126826,751.419983534144,1457.27591511235,222.814601084291,2161.80454938248,1023.19202831155,791.612848454436,1694.89627227239,1074.38349720461,2625.50945031473,870.072175222297,2081.52752580668,967.637315382652,0.8,0.2
"9","73","0",1554.46171035831,2041.27148886128,1394.4641837851,2006.14216336426,864.09409633965,1802.88506543823,2498.39498677937,1935.8920833154,1999.10362226583,1381.17206442036,896.590699603689,1761.98780351137,1464.60074104385,857.190908798533,2161.23503309541,566.228689489381,1760.88789751809,2006.11877338053,623.081970999927,2349.54361835173,1940.63740606182,2108.44289792637,191.061130742124,1,0.2
"10","72","0",1486.86362311349,1814.5410435985,1286.77609456861,1364.00007739708,485.840543630738,868.365511946908,2737.58946044139,1161.6583812211,1565.18923517777,650.968308954887,236.344776336644,740.979895051241,1357.2433240982,194.05068179607,2062.62682262501,945.286483074018,766.868637814237,1602.34815302982,993.595363415593,2525.8377912408,926.252731840172,1982.5877687618,950.114460371212,0.8,0.2
"11","87","0",1386.82684076576,1717.39394305646,1186.74624736829,1287.5978482494,392.034886793091,835.20073613172,2638.43842502235,1099.04657159326,1474.90726182094,570.229964688048,298.371223281555,743.965902007845,1257.21146429819,213.728408675624,1963.53630030106,871.909401893193,754.678051550394,1510.75501426939,916.612489942395,2426.19622586901,989.38237691051,1883.76393756984,942.935760724181,1,0.2
"12","79","0",1479.50023222678,1970.71470332099,1325.5748805127,1970.29506078366,851.089517051479,1803.86816802417,2401.87081869501,1914.72597045123,1944.73486489403,1367.14412834581,947.146149301549,1780.19079678323,1394.12015977604,896.016092309537,2081.35213512339,497.311742370877,1772.63133253784,1949.20957477244,548.837340660145,2255.43153226044,1986.71866653922,2030.63738826131,288.026599301148,1,0.2
"13","87","0",1286.79011959805,1620.59852897477,1086.71774718097,1214.63372640397,302.252410485843,813.06624717479,2539.35690555662,1042.29141506567,1385.96550876998,496.567756179318,377.103109503916,760.219810265317,1157.18052226502,271.512128616205,1864.5468838859,804.301143683799,755.648897411029,1420.30162131864,844.476182890984,2326.58861918178,1058.2181610589,1785.07528371607,946.336647332113,1,0.2
"14","72","0",1407.65958841124,1902.80278814336,1260.86558146385,1938.95170500923,849.742873813348,1810.38697503254,2305.64616335451,1898.60152720764,1894.09264466144,1360.34726905757,1005.14257029927,1803.76615507925,1327.44173412338,943.889949739553,2003.28016445567,440.497267284913,1789.8972912872,1895.87400710401,483.97163672758,2161.85162655815,2036.67458867447,1954.85544584867,386.560612102786,0.8,0.2
"15","85","0",1339.44202594018,1837.82896650165,1201.01211679545,1912.33355768295,860.108921465564,1822.38208046956,2209.76014660186,1887.64795515807,1847.48343452806,1360.88983337884,1069.36997845706,1832.50654030122,1265.16676223994,999.513104214881,1927.23921241776,400.963267321183,1812.52795762163,1846.42177711498,432.723342717633,2068.87611591555,2090.22737879332,1881.34161739571,485.709484364521,0.65,0.2
"16","88","0",1186.75347208093,1524.22180183747,986.691000063767,1145.76472955438,221.441929655358,802.874842755701,2440.35336792739,992.398241459754,1298.63937117487,433.603163771903,464.115234660391,788.921978004108,1057.15075515274,348.959410023357,1765.67557641291,744.035954636005,769.731371623702,1331.22032117838,778.534802888072,2227.01952619374,1131.71934770547,1686.54553507305,960.204709590062,0.8,0.2
"17","80","0",1086.71691526695,1428.34851341034,886.666595285381,1081.77326190835,163.497311781808,805.080204045277,2341.43770261253,950.448308200425,1213.27774991208,386.598896676406,555.530347682203,828.780090561469,957.122527602321,435.707845957176,1666.94339204498,693.032116213367,796.230079311559,1243.80595351845,720.49128866843,2127.49435269551,1209.03535813694,1588.20426438144,984.097527857098,0.8,0.2
"18","71","0",986.680473113468,1333.08728471222,786.64542179285,1023.57452400686,156.336306345331,819.582259764496,2242.62153545345,917.531763725484,1130.32580724581,361.829433711321,649.49195253839,878.276611373754,857.096374458452,527.185736060667,1568.37660289091,653.461827090898,833.962297194689,1158.43593168413,672.394073058887,2028.01956299753,1289.48017235693,1490.08878660425,1017.30901052869,0.8,0.2
